title,price_raw,area_raw,address,description,phone,image,source_url,source_name,crawled_at,price_million,area_m2,ward,room_type,has_dieu_hoa,has_khep_kin,has_ban_cong,has_thang_may,has_full_do,has_gac,has_may_giat,has_nong_lanh,has_wifi,has_de_xe,number_of_amenities,unit_price
"Cho thuê phòng full đồ, ban công thoáng tại số 10/144 Hồ Quan Nhân, Thanh Xuân gần DH Nhân Văn",5500000,30.0,"144 Phố Quan Nhân, Phường Thanh Xuân, Hà Nội","Cho thuê phòng CCMN full đồ, ban công thoáng tại số 10/144 Hồ Quan Nhân, Thanh Xuân, Hà Nội - Trung tâm Quan Nhân, đối… - 637980",0961910838,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/17/z2339425163278-97fa0ef7ef170ddd3f5393f37a2dde37_1781692000.jpg,https://phongtro123.com/cho-thue-studio-full-do-tu-a-z-chi-can-sach-vali-den-o-144-quan-nhan-thanh-xuan-ha-noi-pr637980.html,phongtro123.com,2026-07-05T15:11:44.383648+00:00,5.5,30.0,Thanh Xuân,can_ho_mini,0,0,1,0,1,0,0,0,0,0,2,0.1833333333333333
"Cho thuê phòng Full đồ ngay 138 Hạ Đình, gần DH Khoa học XH Nhân Văn, DH CNGTVT, DH Hà Nội",3500000,20.0,"138 Phố Hạ Đình, Phường Khương Đình, Hà Nội","Chính chủ cho thuê phòng CCMN full đồ, khép kín tại số 02 ngõ 138 Hạ Đình, Thanh Xuân, Hà Nội - Gần ĐH Thăng Long,… - 708017",0961910838,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/09/z7191695835650-b4d23b5f7d1db18542a8241eef6268ff_1780977815.jpg,https://phongtro123.com/cho-thue-phong-full-do-ngay-138-ha-dinh-gan-dh-khoa-hoc-xh-nhan-van-dh-cngtvt-dh-ha-noi-pr708017.html,phongtro123.com,2026-07-05T15:11:44.383648+00:00,3.5,20.0,Khương Đình,can_ho_mini,0,1,0,0,1,0,0,0,0,0,2,0.175
Phòng 1n1k tại Triều Khúc 40m² mới tinh vào ở luôn,5100000,40.0,"Số 58 ngõ 83 Đường Tân Triều ,Triều Khúc Đường Nguyễn Xiển, Phường Thanh Liệt, Hà Nội","Phòng đôi 1n1k tại ngõ 83 đường Tân Triều. Phòng rộng 40m².mới tinh.không chung chủ,giờ giấc tự do. Đầy đủ… - 628199",0912216086,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/06/14/247927107-349685186955664-3444641882296437615-n_1718380227.jpg,https://phongtro123.com/phong-2-ngu-tai-trieu-khuc-moi-tinh-vao-o-luon-pr628199.html,phongtro123.com,2026-07-05T15:11:44.383648+00:00,5.1,40.0,Thanh Liệt,phong_tro,0,0,0,0,0,0,0,0,0,0,0,0.1275
cho thuê 2 phòng trọ còn trống tại khu vực Quan Nhân Thanh Xuân,3000000,20.0,"68 Phố Quan Nhân, Phường Thanh Xuân, Hà Nội",cho thuê 2 phòng trọ còn trống tại khu vực Quan Nhân Thanh Xuân có chỗ phơi quần áo cửa vân tay đi lại thoải mái… - 708912,0975164877,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/06/29/img-5472_1782720631.jpg,https://phongtro123.com/cho-thue-2-phong-tro-con-trong-tai-khu-vuc-quan-nhan-thanh-xuan-pr708912.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,3.0,20.0,Thanh Xuân,phong_tro,0,0,0,0,0,0,0,0,0,0,0,0.15
"CHO THUÊ PHÒNG FULL ĐỒ, QUAN NHÂN, GẦN CHỢ, CẦU VƯỢT LÊ VĂN LƯƠNG, NHÀ MỚI",5100000,30.0,"52/144 Phố Quan Nhân, Phường Thanh Xuân, Hà Nội","Cho thuê phòng nhà mới, full đồ, rộng thoáng, số 52, ngõ 144 Quan Nhân, Thanh Xuân, Hà Nội. Vị trí trung tâm thuận… - 690322",0976757397,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/08/26/z4571333397021-07116bc51d4e5c8e10d43494326290d0_1756198407.jpg,https://phongtro123.com/cho-thue-ccmn-full-do-quan-nhan-gan-tro-cau-vuot-le-van-luong-nha-moi-2-pr690322.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,5.1,30.0,Thanh Xuân,phong_tro,0,0,0,0,1,0,0,0,0,0,1,0.1699999999999999
"Cho thuê CCMN full đồ, cửa sổ ban công, ngõ 286 Nguyễn Xiển gần DH Nhân Văn, Công nghệ GTVT",4200000,25.0,"286 Đường Nguyễn Xiển, Phường Thanh Xuân, Hà Nội","Chính chủ cho thuê phòng full đồ, có cửa sổ, ban công, khép kín tại ngõ 286 nguyễn xiển (cạnh ecogreen) hoặc đi ngõ… - 673107",0877828666,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/15/93e18dc95805925bcb144_1776238319.jpg,https://phongtro123.com/cho-thue-ccmn-full-do-noi-that-khu-vuc-286-nguyen-xien-pr673107.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.2,25.0,Thanh Xuân,can_ho_mini,0,1,1,0,1,0,0,0,0,0,3,0.168
"Cho thuê phòng full đồ, ban công thoáng tại số 10/144 Hồ Quan Nhân, Thanh Xuân gần DH Nhân Văn",4500000,25.0,"144 Phố Quan Nhân, Phường Thanh Xuân, Hà Nội","Cho thuê phòng CCMN full đồ, ban công thoáng tại số 10/144 Hồ Quan Nhân, Thanh Xuân, Hà Nội - Trung tâm Quan Nhân, đối… - 599378",0877828666,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/05/17/2c5e00b75851f70fae408_1715936900.jpg,https://phongtro123.com/c-chu-cho-thue-ccmn-studio-moi-full-do-a-z-tai-so-10-144-ho-quan-nhan-thanh-xuan-pr599378.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.5,25.0,Thanh Xuân,can_ho_mini,0,0,1,0,1,0,0,0,0,0,2,0.18
"Cho thuê CCMN Khép kín, ban công 140 nguyễn xiển, thanh xuân, gần ĐH Nhân Văn",4300000,25.0,"140 Đường Nguyễn Xiển, Phường Thanh Xuân, Hà Nội","Cho thuê phòng đủ đồ, khép kín, có ban công tại 140 Nguyễn Xiển, gần DH Nhân Văn, DH Công nghệ GTVT... - Vị trí: ngay… - 620603",0877828666,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/15/333904816028079578310_1776238153.jpg,https://phongtro123.com/cho-thue-ccmn-khep-kin-ban-cong-140-nguyen-xien-thanh-xuan-gan-dh-nhan-van-pr620603.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.3,25.0,Thanh Xuân,can_ho_mini,0,1,1,0,0,0,0,0,0,0,2,0.172
"Cho thuê phòng có ban công cửa sổ tại 73 Hoàng Ngân, Quan Nhân",4800000,22.0,"73 Đường Hoàng Ngân, Phường Thanh Xuân, Hà Nội","Cho thuê phòng mới tinh, full đồ, rộng thoáng, có ban công cửa sổ tại 73 Hoàng Ngân, Quan Nhân - Vị trí trung tâm,… - 690230",0877828666,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/08/25/d6ae8796d50b5d55041a3_1756111456.jpg,https://phongtro123.com/cho-thue-ccmn-co-ban-cong-cua-so-tai-73-hoang-ngan-quan-nhan-pr690230.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,4.8,22.0,Thanh Xuân,phong_tro,0,0,1,0,1,0,0,0,0,0,2,0.2181818181818181
"Cho thuê phòng Full đồ ngay 138 Hạ Đình, gần DH Khoa học XH Nhân Văn, DH CNGTVT, DH Hà Nội",3300000,20.0,"138 Phố Hạ Đình, Phường Khương Đình, Hà Nội","Chính chủ cho thuê phòng CCMN full đồ, khép kín tại số 02 ngõ 138 Hạ Đình, Thanh Xuân, Hà Nội - Gần ĐH Thăng Long,… - 637652",0877828666,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/15/e8d86f58c0aa4df414bb10_1776238445.jpg,https://phongtro123.com/cho-thue-phong-ccmn-full-do-ngay-138-ha-dinh-gan-dh-khoa-hoc-xh-nhan-van-dh-cngtvt-dh-ha-noi-pr637652.html,phongtro123.com,2026-07-05T15:11:44.385653+00:00,3.3,20.0,Khương Đình,can_ho_mini,0,1,0,0,1,0,0,0,0,0,2,0.1649999999999999
